city,url,geocode,city_name
wro,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/26400,"Wrocław, Poland",Wrocław
waw,,"Warszawa, Poland",Warszawa
kra,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/126100,"Kraków, Poland",Kraków
gda,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/226100,"Gdańsk, Poland",Gdańsk
poz,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/306400,"Poznań, Poland",Poznań
szc,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/326200,"Szczecin, Poland",Szczecin
gdy,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/226200,"Gdynia, Poland",Gdynia
bia,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/206100,"Białystok, Poland",Białystok
byd,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/46100,"Bydgoszcz, Poland",Bydgoszcz
tor,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/46300,"Toruń, Poland",Toruń
zie,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/86200,"Zielona Góra, Poland","Zielona Góra"
rad,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/146300,"Radom, Poland",Radom
lub,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/66300,"Lublin, Poland",Lublin
lod,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/106100,"Łódź, Poland",Łódź
opo,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/166100,"Opole, Poland",Opole
kat,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/246900,"Katowice, Poland",Katowice
kie,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/266100,"Kielce, Poland",Kielce
rze,https://wybory.gov.pl/samorzad2024/pl/wbp/okregi/186300,"Rzeszów, Poland",Rzeszów
